z,ra,dec,r,grModelColor
0.1032231,189.3853828,66.16327252,16.75866,0.42695236
0.118438,128.7651176,50.08140742,16.70081,1.01743507
0.1020677,136.9592183,56.41879587,17.56668,0.63465691
0.1032574,201.9437182,63.47669807,17.19667,0.85744667
0.1050735,207.9642571,62.58589625,17.52973,0.89849281
0.1061958,200.9384719,1.04206002,15.67091,0.86003494
0.1101866,202.3109541,0.98125973,16.73423,1.00841331
0.1144767,218.3865738,1.02094161,17.80495,1.00809288
0.1188669,26.81314578,14.56171521,17.66141,0.78719902
0.1045165,9.30942044,15.86739248,16.91506,0.74656868
0.1171655,171.1287978,-2.57607858,16.99568,1.08390236
0.1170122,131.1706772,50.57821051,16.72432,0.59909439
0.1098829,136.6663971,55.22964404,17.50512,0.88035393
0.1120772,256.417342,58.48461932,16.64031,1.03471947
0.1112356,256.3273461,59.67382554,16.84221,0.96372414
0.1175983,258.8086907,59.57856564,17.94741,0.59210014
0.1164673,258.9172168,59.2798617,17.49846,0.96215248
0.1162044,208.3594199,0.04666187,15.47,1.07814217
0.1122474,208.328773,0.18210203,16.68071,0.89275169
0.117257,224.9503172,0.16439345,17.41921,0.77520561
0.1107273,225.1116193,0.1477951,17.49804,0.67106247
0.1067319,200.9586481,1.00530356,17.06778,0.92906761
0.1105639,182.442685,-1.41938632,17.04353,0.88794518
0.1132453,130.8762577,50.92627381,17.49824,0.58039093
0.1180499,116.6803158,38.65393245,17.33323,0.83403015
0.102391,137.1379868,56.47411896,17.3608,0.44323158
0.1150747,252.9937703,62.29378504,17.64385,0.64425278
0.1132393,256.5993265,58.43567434,17.17417,0.97810936
0.1176577,259.4706772,56.67554505,17.43273,1.02288818
0.1016685,129.586472,49.10637542,17.63463,0.71965218
0.1173681,131.1794083,50.38157513,17.15159,0.9557476
0.1012516,204.0355063,62.84086636,17.44921,0.68284416
0.115627,129.213241,50.02759943,16.8683,1.02502251
0.1140904,130.7832213,51.40187126,17.64355,0.97556496
0.1185368,245.0852602,47.50804599,17.26499,0.93128204
0.112525,136.8940239,56.68021065,17.32193,0.63900757
0.1138975,129.6583205,52.14268956,17.02455,1.00145531
0.1028538,149.5105396,62.1632183,16.13997,0.94388771
0.1191283,166.5468552,65.65704223,17.16105,0.58073997
0.1146976,131.2716601,50.94693801,17.23722,0.9378624
0.1179141,233.4319053,54.74778217,17.5465,1.12021828
0.1110224,233.8583953,54.66141659,16.46751,1.03637886
0.1183453,116.3078044,38.62915005,17.18728,1.06715965
0.1032165,134.3338554,53.98781025,16.49697,0.78434944
0.114318,129.6932787,51.89779578,18.65329,0.98905754
0.1172809,144.2609583,59.37652315,17.00573,1.01477814
0.1176355,151.2988403,62.78405184,17.74712,0.59966087
0.1019892,121.8207518,0.93199037,16.35286,0.98975945
0.1163963,242.4771051,0.79181494,17.7357,1.21269989
0.1136317,230.110743,0.89851504,16.82176,1.00278664
0.1011451,182.4290991,-0.99009341,17.14804,0.6974144
0.119653,58.29231731,-5.59665882,17.17385,1.07980537
0.1046617,195.7806471,-3.38360069,16.87232,1.02365303
