z,ra,dec,r,grModelColor
0.4891059,161.4355072,-0.09979831,20.06445,1.54423714
0.4509061,161.8001906,-0.14468928,20.48429,1.85367203
0.476774,165.6952722,-0.08228069,20.90537,1.58028793
0.4275394,192.7493952,-0.03630876,20.07513,1.71486092
0.4240592,128.2900477,0.25889607,19.34179,1.66666603
0.4484333,160.3828553,0.22867728,20.47184,1.85773087
0.4701093,160.6868496,0.36983647,20.46924,1.77840805
0.4816023,161.0232028,0.38209643,20.249,1.94361115
0.4476349,161.9906038,0.28720551,20.20208,1.74435806
0.4550881,162.6419738,0.38662949,20.22146,1.81970024
0.4283843,196.7130254,1.14862935,18.77708,1.69918823
0.4908887,21.23826137,13.30473249,20.40421,1.70404053
0.4734522,162.4731795,-2.8364994,20.53891,1.61569405
0.4096633,164.0443816,-2.84648247,19.49427,1.81407928
0.4682235,169.4496825,-2.83607289,18.63694,1.84699249
0.4598289,184.6714807,-3.0525627,19.34376,1.63719559
0.4944483,167.8664635,-2.49749664,20.03389,1.80526733
0.4548217,169.487414,-2.47816657,20.35069,1.62808609
0.4743513,169.6811966,-2.59560569,20.14117,1.5853672
0.4723108,162.3957392,-1.92250045,20.35001,1.61670303
0.4929616,163.7987373,-1.9961522,20.22399,1.68369865
0.4843545,164.8018459,-2.0458317,20.24165,1.386549
0.4526984,169.6835921,-2.08234967,20.2708,1.47861099
0.4260692,163.4607705,-1.56571321,19.5452,2.08559418
0.4705052,163.5894993,-1.67628046,20.27139,1.57959557
0.4562229,170.9900323,-1.60857475,20.54116,1.28321266
0.479969,173.3399197,-1.70220235,19.83924,1.77501297
0.491273,172.4501443,-1.34550015,20.5003,1.48766327
0.4540219,177.6331274,-2.01640185,19.90606,1.53017616
0.448733,194.9533741,-1.99112895,19.17164,1.88732529
0.4383044,184.8939471,-1.55108047,19.97577,1.86291885
0.4551317,195.5313635,-1.42759205,20.02913,1.68369102
0.4724604,123.4193192,0.04896114,19.95624,1.80499268
0.4571858,161.7051843,-3.0733132,19.25741,1.76853752
0.4728408,165.7720107,-3.01816374,21.66527,2.24533653
0.4511413,145.9614096,-1.82506344,19.86677,1.68764687
0.4852973,148.9470537,-2.00713682,20.02972,1.93390083
0.4030601,186.2095441,-0.70424829,18.32698,1.72075844
0.4880083,231.8918245,-0.73765688,20.13749,1.6125946
0.4250935,183.7243046,-0.31993455,18.66975,1.90339661
0.4880742,193.0655778,-0.24519763,20.14623,1.51898575
0.4583787,207.2837897,-0.20778244,20.31372,1.76791573
0.4027377,218.4889255,-0.31288255,19.71355,1.99855232
0.4165634,200.0511694,1.04682648,19.92227,1.61985397
0.4480295,224.3229435,1.02245409,19.29299,1.81033897
0.4250891,226.6042911,0.98340659,19.28621,1.76977348
0.4248458,226.7314013,0.87253089,19.42483,1.97054672
0.4715239,145.8830692,-0.89954058,20.64254,1.60728073
0.4198143,151.3868001,-1.00773175,18.41701,1.69021988
0.4629296,165.2129865,-0.88111713,18.55709,1.81506157
0.4658681,165.9525582,-0.86827832,18.96307,1.73678207
0.40373,169.804608,-0.85834187,19.21403,1.75580406
0.495328,169.9077082,-0.94894276,20.39083,1.71719551
0.4797445,171.960815,-0.88077753,20.40053,1.83387756
0.4012745,180.5032335,-0.91942451,19.35271,1.84606552
0.4923333,161.0374449,1.24737955,20.38698,1.4627552
0.4758181,161.9925772,1.17847796,20.09217,1.67583466
0.4779117,169.5655837,1.19559471,19.45999,1.59630203
0.4793999,188.7890957,1.1892407,20.22463,1.70453835
0.417639,16.04605786,13.67476475,20.11902,1.65686035
0.4857527,28.49695924,12.56143571,20.30952,1.4071064
0.4773686,29.89596778,12.53080842,20.21411,1.89966393
0.4861521,12.39086913,14.06786774,20.67399,2.27673149
0.4024957,164.9433175,-2.82977298,18.84415,1.8239994
